time,place tortilla on cutting board,scoop peanut butter from the jar with a knife,spread peanut butter on the tortilla,wipe off knife with a paper towel,scoop grape jelly from the jar with a knife,spread grape jelly on the tortilla,roll tortilla into a roll,grab toothpicks,insert toothpicks into the roll,cut the ends of the tortilla,grab string,slide string under the tortilla,slice the wrap into small pieces using a string,place the mini wraps onto the plate
0.2,0.0623,0.0145,0.0086,0.426,0.014,0.0367,0.2666,0.0092,0.0157,0.0313,0.0436,0.0417,0.003,0.0267
0.4,0.0619,0.0153,0.0087,0.4354,0.0143,0.0363,0.2574,0.0099,0.0173,0.0297,0.0429,0.0424,0.0029,0.0255
0.6,0.059,0.0158,0.009,0.4282,0.0152,0.0413,0.2327,0.0099,0.0166,0.0318,0.0484,0.0606,0.0027,0.0289
0.8,0.0551,0.0146,0.0085,0.4281,0.0148,0.0399,0.229,0.0108,0.018,0.0325,0.0517,0.064,0.0028,0.0301
1.0,0.0524,0.0134,0.0081,0.436,0.0139,0.0386,0.2247,0.0107,0.0179,0.0328,0.0521,0.0661,0.0028,0.0305
1.2,0.0523,0.0114,0.0077,0.4359,0.0142,0.0393,0.2251,0.0109,0.0176,0.0332,0.0562,0.0627,0.0029,0.0305
1.4,0.057,0.0108,0.0082,0.4175,0.0151,0.0431,0.2228,0.0117,0.0185,0.0358,0.0601,0.0625,0.0034,0.0336
1.6,0.0608,0.0099,0.0084,0.4116,0.0155,0.0454,0.2161,0.012,0.0186,0.0376,0.062,0.0625,0.0036,0.0359
1.8,0.0641,0.0095,0.0085,0.4052,0.0162,0.0474,0.2086,0.0129,0.0193,0.0391,0.0666,0.0612,0.0038,0.0375
2.0,0.0663,0.0092,0.0086,0.402,0.0166,0.0486,0.2038,0.0134,0.0196,0.0401,0.069,0.0599,0.004,0.0389
2.2,0.076,0.0083,0.0085,0.3927,0.0166,0.0505,0.1892,0.0143,0.0198,0.0436,0.0747,0.0597,0.0041,0.042
2.4,0.0869,0.0073,0.0083,0.3804,0.0165,0.0524,0.1762,0.0149,0.0196,0.0478,0.0809,0.0591,0.0042,0.0455
2.6,0.1011,0.0061,0.0087,0.3424,0.0176,0.0577,0.1865,0.016,0.021,0.0527,0.0799,0.0554,0.005,0.0499
2.8,0.1184,0.0052,0.0093,0.3035,0.0189,0.0653,0.1924,0.0163,0.0214,0.0576,0.0777,0.0538,0.0057,0.0545
3.0,0.1257,0.0045,0.0098,0.2974,0.0187,0.0688,0.184,0.0182,0.0253,0.0582,0.0769,0.0491,0.0059,0.0574
3.2,0.1445,0.0046,0.0105,0.2676,0.0183,0.068,0.193,0.0183,0.0281,0.0587,0.0741,0.0456,0.0062,0.0625
3.4,0.1578,0.0045,0.0106,0.2505,0.0174,0.0642,0.206,0.0178,0.0303,0.0571,0.0714,0.0418,0.0061,0.0644
3.6,0.1636,0.0048,0.011,0.2393,0.0186,0.0661,0.1972,0.0205,0.0336,0.0531,0.0829,0.0402,0.0057,0.0636
3.8,0.169,0.005,0.0116,0.2291,0.0193,0.0679,0.1904,0.0225,0.0362,0.0494,0.0921,0.0393,0.0053,0.0629
4.0,0.1859,0.0053,0.0122,0.2217,0.0172,0.064,0.2019,0.0235,0.0393,0.0436,0.085,0.0329,0.0046,0.0628
4.2,0.187,0.0058,0.013,0.2168,0.0156,0.0608,0.2211,0.025,0.0438,0.0375,0.0781,0.0284,0.0043,0.0628
4.4,0.1702,0.0068,0.0135,0.2287,0.0149,0.0572,0.2342,0.0271,0.0516,0.0306,0.0773,0.0258,0.004,0.0583
4.6,0.157,0.008,0.0131,0.2619,0.0133,0.0498,0.2266,0.029,0.0578,0.0245,0.081,0.0224,0.0032,0.0523
4.8,0.1365,0.0099,0.0121,0.2934,0.012,0.041,0.2082,0.0348,0.0651,0.0191,0.1019,0.019,0.0025,0.0448
5.0,0.1312,0.0122,0.0114,0.2855,0.0121,0.0366,0.2059,0.039,0.0636,0.0161,0.1274,0.0173,0.0021,0.0398
5.2,0.1047,0.0124,0.0095,0.2962,0.0114,0.0297,0.1603,0.0644,0.0717,0.0109,0.1837,0.0146,0.0015,0.0291
5.4,0.0789,0.012,0.0074,0.2875,0.0103,0.0226,0.1167,0.1002,0.0761,0.0069,0.2488,0.0116,0.001,0.02
5.6,0.0627,0.0104,0.0053,0.2748,0.0083,0.0149,0.0921,0.137,0.078,0.0044,0.2878,0.0093,0.0008,0.0143
5.8,0.0472,0.0085,0.0036,0.2565,0.0064,0.0094,0.0694,0.1808,0.0769,0.0027,0.321,0.0071,0.0005,0.0099
6.0,0.031,0.0069,0.0029,0.1951,0.0056,0.0075,0.0492,0.2156,0.0788,0.0021,0.3918,0.0062,0.0004,0.0069
6.2,0.019,0.0053,0.0021,0.1419,0.0047,0.0056,0.0326,0.2431,0.0758,0.0015,0.4585,0.005,0.0003,0.0045
6.4,0.0135,0.0041,0.0016,0.0976,0.0041,0.0041,0.0226,0.2882,0.0593,0.001,0.4975,0.0032,0.0003,0.003
6.6,0.0091,0.0033,0.0011,0.0649,0.0034,0.0028,0.0151,0.3301,0.0443,0.0006,0.5213,0.0019,0.0002,0.0019
6.8,0.0078,0.0029,0.0011,0.0509,0.003,0.0026,0.013,0.3722,0.0416,0.0005,0.5011,0.0015,0.0002,0.0016
7.0,0.0065,0.0025,0.0011,0.0407,0.0026,0.0023,0.0112,0.4165,0.0391,0.0004,0.4743,0.0011,0.0002,0.0014
7.2,0.0077,0.0028,0.0013,0.0371,0.0031,0.0028,0.0122,0.4149,0.0353,0.0005,0.4793,0.0012,0.0002,0.0017
7.4,0.0091,0.0032,0.0016,0.0339,0.0035,0.0034,0.0132,0.4121,0.0318,0.0006,0.4843,0.0012,0.0002,0.002
7.6,0.0105,0.0038,0.0021,0.0305,0.0041,0.0043,0.0149,0.4097,0.0292,0.0007,0.4866,0.0011,0.0002,0.0023
7.8,0.0127,0.0051,0.0032,0.0277,0.0053,0.0061,0.0183,0.4104,0.0296,0.0009,0.4764,0.0011,0.0002,0.0029
8.0,0.0145,0.0061,0.0037,0.0262,0.0062,0.0066,0.0188,0.4255,0.0253,0.0009,0.4617,0.001,0.0002,0.0033
8.2,0.0167,0.0075,0.0042,0.0247,0.0075,0.0072,0.0196,0.4399,0.0219,0.0009,0.4449,0.001,0.0002,0.0037
8.4,0.0215,0.0089,0.0056,0.0235,0.0084,0.0085,0.0221,0.4338,0.02,0.001,0.441,0.0011,0.0002,0.0043
8.6,0.0296,0.0092,0.0084,0.0233,0.0093,0.0119,0.0268,0.4304,0.0199,0.0014,0.4228,0.0014,0.0003,0.0055
8.8,0.0371,0.0092,0.0099,0.0218,0.0101,0.0142,0.0289,0.4307,0.017,0.0015,0.412,0.0015,0.0003,0.0057
9.0,0.0552,0.0095,0.0119,0.0216,0.0121,0.0182,0.0328,0.4031,0.014,0.0018,0.4109,0.0017,0.0004,0.0067
9.2,0.0763,0.0098,0.0152,0.0233,0.0135,0.024,0.041,0.3768,0.0135,0.0023,0.3937,0.002,0.0006,0.0081
9.4,0.1039,0.0098,0.0193,0.025,0.0147,0.0311,0.0505,0.3481,0.0127,0.0028,0.3696,0.0022,0.0008,0.0097
9.6,0.1424,0.0097,0.0243,0.0262,0.016,0.0402,0.0615,0.3108,0.0119,0.0035,0.3384,0.0025,0.0011,0.0116
9.8,0.1845,0.0096,0.0283,0.0281,0.0159,0.0472,0.0848,0.2592,0.0105,0.0042,0.3102,0.003,0.0013,0.0132
10.0,0.2318,0.0091,0.0318,0.0296,0.0154,0.0539,0.113,0.2093,0.0089,0.0049,0.2729,0.0035,0.0014,0.0145
10.2,0.287,0.0085,0.0402,0.0266,0.0153,0.0674,0.133,0.1669,0.0075,0.0055,0.2197,0.0042,0.0019,0.0163
10.4,0.3182,0.0078,0.0482,0.0246,0.0159,0.0836,0.1494,0.1352,0.0073,0.0065,0.1759,0.0051,0.0025,0.0198
10.6,0.3351,0.0069,0.0493,0.0239,0.0167,0.0945,0.1519,0.1211,0.0069,0.0072,0.1536,0.0058,0.003,0.024
10.8,0.3496,0.006,0.0511,0.0232,0.0173,0.1075,0.1551,0.1059,0.0066,0.0081,0.13,0.0066,0.0034,0.0296
11.0,0.3038,0.0057,0.0599,0.0223,0.0181,0.1237,0.1548,0.1116,0.0074,0.0092,0.1341,0.0072,0.0041,0.038
11.2,0.2604,0.0054,0.0692,0.0211,0.0188,0.1405,0.1524,0.1161,0.0082,0.0104,0.1365,0.0078,0.0048,0.0482
11.4,0.2437,0.0054,0.0832,0.0184,0.0211,0.1691,0.1627,0.0937,0.0081,0.0131,0.1071,0.0091,0.006,0.0591
11.6,0.2225,0.0052,0.0974,0.0157,0.0232,0.1986,0.1695,0.0738,0.0079,0.0161,0.082,0.0103,0.0072,0.0707
11.8,0.2121,0.0052,0.1174,0.0137,0.0241,0.2292,0.1468,0.063,0.0074,0.0187,0.0681,0.0109,0.0088,0.0747
12.0,0.1996,0.005,0.1388,0.0116,0.0244,0.2594,0.1251,0.0529,0.0068,0.0214,0.0561,0.0112,0.0105,0.0772
12.2,0.1958,0.0041,0.1506,0.011,0.0209,0.2629,0.1244,0.0496,0.0065,0.0247,0.0517,0.0112,0.0107,0.0759
12.4,0.1948,0.0039,0.1539,0.0108,0.0199,0.2712,0.1267,0.0415,0.006,0.029,0.0485,0.0118,0.0113,0.0708
12.6,0.1959,0.0045,0.1693,0.0103,0.0195,0.2653,0.1369,0.0328,0.0053,0.0311,0.0445,0.0124,0.0114,0.0606
12.8,0.1863,0.0059,0.1909,0.0096,0.0207,0.2508,0.1565,0.0239,0.0045,0.0339,0.0389,0.0126,0.0121,0.0534
13.0,0.1914,0.0071,0.2012,0.0091,0.0211,0.2346,0.1833,0.0166,0.0036,0.0356,0.0291,0.0133,0.0119,0.0421
13.2,0.1954,0.0082,0.2208,0.0092,0.0195,0.2236,0.1963,0.0116,0.0028,0.0351,0.0218,0.0141,0.0106,0.0309
13.4,0.1982,0.009,0.239,0.01,0.0174,0.2077,0.198,0.0116,0.0026,0.0335,0.023,0.0141,0.0102,0.0258
13.6,0.2002,0.0098,0.2578,0.0109,0.0154,0.1921,0.199,0.0115,0.0024,0.0318,0.0242,0.014,0.0097,0.0215
13.8,0.2052,0.0087,0.2597,0.01,0.014,0.1926,0.197,0.0104,0.0021,0.0317,0.024,0.0141,0.0096,0.0209
14.0,0.2063,0.0088,0.2642,0.0093,0.014,0.1908,0.1931,0.0094,0.002,0.0332,0.0236,0.0145,0.01,0.0209
14.2,0.2039,0.0105,0.2635,0.0093,0.0161,0.1955,0.1846,0.0078,0.0018,0.0363,0.0228,0.0155,0.0105,0.0219
14.4,0.1921,0.0103,0.2878,0.0088,0.0145,0.1989,0.167,0.0075,0.0017,0.0388,0.0219,0.0157,0.0107,0.0242
14.6,0.1802,0.01,0.3139,0.008,0.0132,0.201,0.1483,0.0069,0.0016,0.0421,0.0204,0.0159,0.0112,0.0274
14.8,0.1802,0.0086,0.3114,0.0076,0.013,0.2206,0.1288,0.0068,0.0016,0.0422,0.019,0.0161,0.0121,0.0321
15.0,0.1754,0.0072,0.3096,0.0071,0.0127,0.2441,0.1098,0.0066,0.0015,0.0422,0.018,0.0164,0.0128,0.0367
15.2,0.1727,0.0063,0.2923,0.0061,0.0135,0.2597,0.1032,0.0063,0.0015,0.0448,0.0166,0.0164,0.0151,0.0454
15.4,0.1667,0.0053,0.2907,0.0056,0.0139,0.2805,0.0919,0.0053,0.0013,0.0458,0.0143,0.0167,0.015,0.047
15.6,0.1652,0.0045,0.2857,0.0051,0.0142,0.2965,0.0834,0.0041,0.0011,0.048,0.0122,0.0175,0.0141,0.0485
15.8,0.163,0.004,0.2848,0.0054,0.0147,0.3074,0.0772,0.0037,0.001,0.0502,0.0109,0.0178,0.0138,0.046
16.0,0.1596,0.0036,0.2879,0.0058,0.0145,0.3161,0.0743,0.0036,0.0008,0.0472,0.0102,0.0172,0.0137,0.0455
16.2,0.1581,0.0032,0.2905,0.0062,0.0142,0.3224,0.0724,0.0036,0.0008,0.0441,0.0097,0.0166,0.0136,0.0448
16.4,0.1692,0.0033,0.2773,0.0067,0.0161,0.319,0.0787,0.0031,0.0007,0.0439,0.0087,0.017,0.0134,0.0429
16.6,0.1798,0.0034,0.2654,0.0072,0.0179,0.3165,0.0845,0.0026,0.0006,0.043,0.0079,0.0172,0.0133,0.0405
16.8,0.1759,0.0032,0.2737,0.007,0.018,0.3177,0.0776,0.0026,0.0007,0.0458,0.0083,0.0179,0.0128,0.0388
17.0,0.1757,0.003,0.281,0.007,0.0179,0.3131,0.0723,0.0026,0.0007,0.0485,0.0086,0.0187,0.0126,0.0384
17.2,0.1724,0.0028,0.2895,0.007,0.0176,0.3141,0.0652,0.0026,0.0008,0.0511,0.0089,0.0192,0.0122,0.037
17.4,0.1726,0.0027,0.2772,0.0065,0.0163,0.3174,0.0679,0.0027,0.0009,0.0565,0.0103,0.0196,0.0125,0.037
17.6,0.1654,0.0028,0.2751,0.0057,0.0153,0.3246,0.0648,0.0028,0.001,0.0614,0.0118,0.0197,0.0128,0.0369
17.8,0.16,0.003,0.2743,0.0051,0.0146,0.3272,0.0622,0.0029,0.0011,0.0661,0.0137,0.0198,0.0131,0.037
18.0,0.1575,0.003,0.2663,0.0044,0.0136,0.3358,0.0577,0.0028,0.0011,0.0748,0.0151,0.0206,0.0126,0.0348
18.2,0.1539,0.0032,0.2498,0.0037,0.0143,0.3382,0.0539,0.0025,0.0012,0.09,0.0155,0.0228,0.0134,0.0377
18.4,0.1432,0.0031,0.2416,0.0032,0.0148,0.3468,0.0457,0.0024,0.0012,0.1021,0.0171,0.0235,0.014,0.0412
18.6,0.133,0.0023,0.2326,0.0029,0.0132,0.3636,0.0388,0.0023,0.0012,0.1111,0.0188,0.0232,0.0144,0.0427
18.8,0.1358,0.002,0.2259,0.0028,0.0113,0.3641,0.0374,0.002,0.001,0.12,0.0191,0.023,0.0142,0.0414
19.0,0.1442,0.0018,0.2163,0.0028,0.0101,0.3522,0.0383,0.0018,0.0009,0.1341,0.0202,0.0238,0.0138,0.0396
19.2,0.1547,0.0018,0.2054,0.0028,0.0092,0.336,0.0393,0.0016,0.0008,0.1495,0.022,0.0251,0.0133,0.0384
19.4,0.1532,0.0018,0.2149,0.0029,0.009,0.3308,0.0385,0.0015,0.0008,0.1439,0.0222,0.027,0.0133,0.0402
19.6,0.1506,0.0018,0.2193,0.0033,0.0088,0.3257,0.041,0.0016,0.0008,0.1385,0.023,0.0284,0.014,0.0431
19.8,0.1517,0.0017,0.2173,0.0031,0.0087,0.3189,0.0447,0.0014,0.0009,0.1408,0.0201,0.0286,0.0151,0.0471
20.0,0.1535,0.0017,0.2142,0.0029,0.0085,0.3098,0.0489,0.0012,0.0009,0.1444,0.0175,0.029,0.0162,0.0512
20.2,0.1561,0.0015,0.2182,0.0028,0.0076,0.3094,0.0524,0.0011,0.0009,0.1418,0.0165,0.0277,0.0158,0.0481
20.4,0.1591,0.0013,0.2254,0.0027,0.0066,0.3081,0.0546,0.001,0.0009,0.136,0.0153,0.0275,0.0156,0.046
20.6,0.1588,0.0015,0.2347,0.0025,0.0067,0.2979,0.0586,0.0009,0.0008,0.1358,0.0137,0.0301,0.015,0.043
20.8,0.1578,0.0017,0.2453,0.0024,0.0067,0.2874,0.0626,0.0008,0.0008,0.1351,0.0123,0.033,0.0143,0.0399
21.0,0.1509,0.0018,0.2593,0.0021,0.0065,0.2886,0.0629,0.0007,0.0008,0.1302,0.0106,0.0345,0.014,0.0371
21.2,0.1369,0.0017,0.2755,0.0018,0.0066,0.2954,0.0597,0.0006,0.0007,0.1274,0.0097,0.0328,0.0143,0.0368
21.4,0.1325,0.0018,0.2771,0.0016,0.0068,0.2922,0.0561,0.0006,0.0007,0.1372,0.009,0.0313,0.015,0.0382
21.6,0.1291,0.0017,0.2765,0.0014,0.0071,0.2896,0.0517,0.0005,0.0006,0.1491,0.0083,0.0299,0.0157,0.0388
21.8,0.1228,0.0016,0.283,0.0014,0.0073,0.2893,0.0475,0.0005,0.0006,0.1522,0.0089,0.03,0.0159,0.0389
22.0,0.1219,0.0015,0.29,0.0014,0.0072,0.2963,0.0494,0.0006,0.0006,0.1399,0.0094,0.0296,0.0155,0.0367
22.2,0.1193,0.0014,0.2988,0.0014,0.0068,0.3036,0.0512,0.0006,0.0006,0.1278,0.0097,0.0292,0.0149,0.0346
22.4,0.126,0.0018,0.3077,0.002,0.0076,0.2931,0.0624,0.0011,0.0009,0.1056,0.0136,0.026,0.0155,0.0367
22.6,0.1345,0.0023,0.3093,0.0026,0.0084,0.2807,0.0738,0.0022,0.0015,0.0858,0.0193,0.0218,0.0166,0.0412
22.8,0.1445,0.0031,0.3023,0.0032,0.0096,0.269,0.082,0.0044,0.0023,0.0709,0.0273,0.0199,0.0171,0.0444
23.0,0.1523,0.0041,0.2933,0.004,0.0109,0.2548,0.0896,0.0086,0.0036,0.0577,0.0382,0.0178,0.0175,0.0477
23.2,0.166,0.005,0.2778,0.0051,0.0109,0.2368,0.0996,0.0134,0.0049,0.0482,0.0505,0.0162,0.0162,0.0494
23.4,0.1788,0.006,0.2574,0.0064,0.0109,0.2163,0.1103,0.0205,0.0065,0.0403,0.0661,0.0149,0.0148,0.0508
23.6,0.1892,0.007,0.238,0.0079,0.0104,0.1958,0.118,0.0307,0.0085,0.0327,0.0847,0.0133,0.0132,0.0506
23.8,0.1832,0.0073,0.238,0.0088,0.0099,0.1923,0.1204,0.038,0.0107,0.0282,0.0877,0.0119,0.0119,0.0516
24.0,0.1712,0.0082,0.2419,0.0099,0.01,0.1877,0.1095,0.0481,0.0133,0.0271,0.0939,0.0108,0.0113,0.057
24.2,0.1788,0.0102,0.2232,0.0117,0.0106,0.1669,0.1049,0.0695,0.0173,0.0219,0.1052,0.0091,0.0107,0.0601
24.4,0.1849,0.0102,0.2198,0.0114,0.0111,0.1718,0.095,0.0716,0.0166,0.0226,0.1065,0.0099,0.0094,0.0591
24.6,0.1936,0.01,0.2143,0.0111,0.0115,0.1767,0.0855,0.0737,0.0157,0.0235,0.1078,0.0109,0.0084,0.0573
24.8,0.2001,0.0092,0.2131,0.0112,0.0111,0.1798,0.083,0.0716,0.0151,0.0236,0.1058,0.0107,0.0074,0.0582
25.0,0.2261,0.0085,0.2121,0.0109,0.011,0.175,0.0773,0.0595,0.0144,0.0255,0.0987,0.0103,0.008,0.0627
25.2,0.2109,0.0089,0.2045,0.0137,0.0135,0.1774,0.0799,0.0695,0.0193,0.0251,0.0923,0.0133,0.0091,0.0624
25.4,0.1933,0.0093,0.1983,0.0171,0.0165,0.1806,0.0811,0.0803,0.0258,0.0246,0.0847,0.0171,0.0103,0.061
25.6,0.1631,0.01,0.189,0.0232,0.0214,0.1827,0.0751,0.0959,0.0347,0.0241,0.0886,0.021,0.0114,0.0595
25.8,0.138,0.0123,0.1473,0.0337,0.0268,0.1518,0.0695,0.1495,0.0512,0.0199,0.1162,0.0229,0.0113,0.0497
