time,no action,take cup,put down cup,fold tablecloth,pull down tablecloth,take washing up liquid,pour washing up liquid into cup,open tap,wash cup,rinse spoon,rinse cup,turn tap,pull down cup,take cereal bag,rinse sink,rinse hands,close tap,dry hands,take bottle,open bottle,take glass,pour water,drink water,put down bottle,fold cereal bag,put down glass,take container,put cereal bag into cereal box,close cereal box,open cupboard,put down cereal box,close cupboard,take tablecloth
0.0834,0.0013,0.0664,0.0164,0.0286,0.1039,0.0011,0.0025,0.0,0.0007,0.0,0.0003,0.0001,0.0177,0.1204,0.0,0.0,0.0001,0.0008,0.0225,0.0088,0.0988,0.0052,0.0889,0.0022,0.0405,0.0015,0.0499,0.1157,0.0699,0.0031,0.0655,0.0053,0.0619
0.1668,0.0013,0.0681,0.0162,0.029,0.1121,0.0015,0.0021,0.0,0.0009,0.0,0.0004,0.0002,0.0185,0.1114,0.0,0.0001,0.0001,0.0012,0.0319,0.0091,0.1152,0.0055,0.0987,0.0027,0.0353,0.0021,0.0665,0.09,0.0583,0.0052,0.0524,0.0084,0.0558
0.2503,0.0015,0.0643,0.0166,0.0376,0.0987,0.0024,0.0024,0.0,0.0007,0.0,0.0004,0.0001,0.0112,0.1167,0.0,0.0001,0.0001,0.0009,0.0316,0.0082,0.1459,0.0042,0.092,0.0027,0.0375,0.0028,0.0631,0.0772,0.0553,0.0064,0.0482,0.01,0.0612
0.3337,0.0019,0.0596,0.0177,0.0516,0.1073,0.0023,0.0023,0.0,0.0006,0.0,0.0004,0.0001,0.0102,0.1251,0.0,0.0001,0.0001,0.0009,0.0287,0.0091,0.1329,0.0036,0.0774,0.003,0.0476,0.0027,0.044,0.0777,0.0592,0.0071,0.0455,0.0109,0.0702
0.4171,0.0024,0.0457,0.0155,0.0716,0.1229,0.0018,0.002,0.0,0.0006,0.0,0.0004,0.0001,0.0078,0.1328,0.0,0.0001,0.0001,0.0008,0.0212,0.0082,0.1047,0.004,0.0615,0.0028,0.0575,0.0026,0.0333,0.0838,0.0694,0.0071,0.0455,0.011,0.0827
0.5005,0.0028,0.0489,0.0173,0.0791,0.1168,0.0014,0.0019,0.0,0.0006,0.0,0.0004,0.0001,0.007,0.1281,0.0,0.0001,0.0001,0.0007,0.0187,0.0094,0.0895,0.0045,0.0575,0.003,0.0614,0.0027,0.0275,0.0905,0.0747,0.0071,0.051,0.011,0.0861
0.5839,0.0029,0.0558,0.0199,0.0702,0.1079,0.0012,0.0023,0.0,0.0007,0.0,0.0005,0.0001,0.0089,0.1334,0.0,0.0001,0.0,0.0008,0.018,0.0112,0.0744,0.0055,0.0586,0.0031,0.0632,0.0025,0.0267,0.0984,0.0824,0.0075,0.0567,0.0115,0.0755
0.6673,0.003,0.0644,0.0224,0.0711,0.1131,0.0013,0.0028,0.0,0.0008,0.0,0.0006,0.0001,0.0094,0.1276,0.0,0.0001,0.0,0.0008,0.0181,0.0117,0.071,0.0059,0.0551,0.0033,0.06,0.0026,0.0254,0.0954,0.0812,0.0082,0.0539,0.0125,0.0781
0.7508,0.0031,0.0695,0.0231,0.0599,0.1062,0.0013,0.0031,0.0,0.0009,0.0,0.0006,0.0001,0.0105,0.1485,0.0,0.0001,0.0,0.0008,0.0168,0.0111,0.0614,0.0059,0.05,0.0031,0.0637,0.0025,0.0263,0.0962,0.0902,0.0079,0.0553,0.012,0.0698
0.8342,0.0029,0.0768,0.0248,0.0476,0.0898,0.0012,0.0035,0.0,0.001,0.0,0.0006,0.0001,0.0121,0.16,0.0,0.0001,0.0,0.0008,0.0158,0.0116,0.0589,0.0067,0.0487,0.0031,0.0668,0.0024,0.0245,0.1015,0.1012,0.0074,0.0605,0.0113,0.0583
1.2512,0.0027,0.0809,0.0279,0.0402,0.0755,0.0011,0.004,0.0,0.0011,0.0,0.0007,0.0001,0.0129,0.1671,0.0,0.0001,0.0,0.0008,0.0144,0.0124,0.0527,0.0082,0.0464,0.0034,0.0719,0.0026,0.0217,0.105,0.1144,0.0079,0.0643,0.0123,0.0476
