time,place tortilla on cutting board,scoop peanut butter from the jar with a knife,spread peanut butter on the tortilla,wipe off knife with a paper towel,scoop grape jelly from the jar with a knife,spread grape jelly on the tortilla,roll tortilla into a roll,grab toothpicks,insert toothpicks into the roll,cut the ends of the tortilla,grab string,slide string under the tortilla,slice the wrap into small pieces using a string,place the mini wraps onto the plate
0.2,"[[0.06232627108693123, 0.014548346400260925, 0.008637324906885624, 0.42601409554481506, 0.014010375365614891, 0.036652613431215286, 0.26663368940353394, 0.009195925667881966, 0.01565103605389595, 0.03127923980355263, 0.043574266135692596, 0.04173256456851959, 0.0030360056553035975, 0.026708273217082024]]"
0.4,"[[0.06185488775372505, 0.015252374112606049, 0.008742866106331348, 0.4353950619697571, 0.014300506561994553, 0.03630320355296135, 0.25743478536605835, 0.00994829460978508, 0.01731126382946968, 0.029734158888459206, 0.04286037012934685, 0.04242028668522835, 0.0029110275208950043, 0.02553095668554306]]"
0.6,"[[0.059007469564676285, 0.015796786174178123, 0.008980581536889076, 0.4281868636608124, 0.015243747271597385, 0.04129057750105858, 0.23274171352386475, 0.009925812482833862, 0.016555773094296455, 0.031764354556798935, 0.04837970435619354, 0.06058394908905029, 0.0026909075677394867, 0.02885178104043007]]"
0.8,"[[0.05505397543311119, 0.014639018103480339, 0.008546321652829647, 0.4280978739261627, 0.01475120335817337, 0.03991837054491043, 0.2289734035730362, 0.010819349437952042, 0.017952339723706245, 0.03252057358622551, 0.05174260959029198, 0.06404449045658112, 0.0028458130545914173, 0.030094534158706665]]"
1.0,"[[0.05240387097001076, 0.013410836458206177, 0.008057335391640663, 0.4359591007232666, 0.013933717273175716, 0.038561172783374786, 0.2246672809123993, 0.010745687410235405, 0.01788545586168766, 0.03283410891890526, 0.05211016163229942, 0.06614260375499725, 0.002793296705931425, 0.030495403334498405]]"
1.2,"[[0.052283115684986115, 0.011425981298089027, 0.007663209922611713, 0.4359286427497864, 0.01421362068504095, 0.03933604434132576, 0.22506633400917053, 0.010910160839557648, 0.01760762929916382, 0.03323441371321678, 0.056158944964408875, 0.06271514296531677, 0.002908390713855624, 0.03054830990731716]]"
1.4,"[[0.05697491392493248, 0.010772990062832832, 0.00817546620965004, 0.41749119758605957, 0.015114902518689632, 0.043070413172245026, 0.22280974686145782, 0.011681078001856804, 0.01846166141331196, 0.03584503009915352, 0.06014633923768997, 0.06254439055919647, 0.0033612153492867947, 0.03355063870549202]]"
1.6,"[[0.06077912449836731, 0.009932790882885456, 0.008405938744544983, 0.4115900695323944, 0.015457261353731155, 0.04542921856045723, 0.21608561277389526, 0.011996564455330372, 0.0186497550457716, 0.03764054551720619, 0.062035445123910904, 0.062505804002285, 0.003627775702625513, 0.03586410731077194]]"
1.8,"[[0.06406402587890625, 0.009546034969389439, 0.008495358750224113, 0.4052492380142212, 0.01616543158888817, 0.047392114996910095, 0.20860980451107025, 0.012921541929244995, 0.019335323944687843, 0.03905213251709938, 0.06663968414068222, 0.061159346252679825, 0.003830186789855361, 0.037539757788181305]]"
2.0,"[[0.06626719236373901, 0.009209034033119678, 0.008572024293243885, 0.4019848108291626, 0.016629807651042938, 0.048607319593429565, 0.2038033902645111, 0.013380642049014568, 0.019630808383226395, 0.040063150227069855, 0.06899953633546829, 0.05989474430680275, 0.004028736613690853, 0.038928814232349396]]"
2.2,"[[0.07596173882484436, 0.008255161345005035, 0.008471796289086342, 0.39267268776893616, 0.016641585156321526, 0.05051169916987419, 0.18920980393886566, 0.014262931421399117, 0.019841382279992104, 0.04363633319735527, 0.07472936064004898, 0.059726666659116745, 0.004097129683941603, 0.04198172315955162]]"
2.4,"[[0.08686286956071854, 0.007301568053662777, 0.008319484069943428, 0.38040247559547424, 0.016519825905561447, 0.052383895963430405, 0.17620137333869934, 0.014907117933034897, 0.019576366990804672, 0.04782280698418617, 0.08088255673646927, 0.059130534529685974, 0.004185289144515991, 0.0455038957297802]]"
2.6,"[[0.10109802335500717, 0.006058147177100182, 0.00872888695448637, 0.34244468808174133, 0.017569664865732193, 0.057708222419023514, 0.1865123212337494, 0.015973670408129692, 0.0210459902882576, 0.0527040958404541, 0.07985394448041916, 0.05536015331745148, 0.005013687536120415, 0.04992842301726341]]"
